Date,Open,High,Low,Close,Adj Close,Volume
2018-11-06,102.540001,103.440002,102.050003,103.330002,102.769188,6368700
2018-11-07,103.660004,104.470001,103.050003,104.320000,103.753815,8672600
2018-11-08,104.330002,105.260002,104.029999,104.879997,104.310768,5961400
2018-11-09,105.000000,105.900002,104.809998,105.559998,104.987076,8450400
2018-11-12,105.500000,106.209999,103.650002,103.870003,103.306259,8943100
2018-11-13,103.669998,104.150002,102.540001,102.940002,102.381302,7956700
2018-11-14,103.000000,103.150002,101.010002,101.529999,100.978951,10481900
2018-11-15,102.320000,102.800003,98.620003,99.540001,98.999756,16082600
2018-11-16,98.820000,99.419998,96.919998,97.690002,97.159798,14235200
2018-11-19,97.940002,98.250000,96.430000,96.779999,96.254730,9214400
2018-11-20,94.980003,95.199997,93.599998,94.160004,93.648956,12620600
2018-11-21,94.360001,94.919998,93.309998,94.169998,93.658897,9350900
2018-11-23,94.129997,95.550003,94.129997,95.099998,94.583847,4890000
2018-11-26,95.690002,96.070000,94.739998,95.150002,94.633583,10034600
2018-11-27,94.989998,95.540001,94.410004,95.040001,94.524178,9042300
2018-11-28,95.449997,97.620003,95.050003,97.459999,96.931046,10070800
2018-11-29,97.019997,97.830002,96.739998,97.290001,96.761971,6241300
2018-11-30,97.400002,98.430000,97.070000,97.650002,97.120010,10664000
2018-12-03,98.019997,99.589996,97.669998,98.750000,98.214043,9082100
2018-12-04,98.250000,98.959999,95.610001,95.809998,95.289993,10426300
2018-12-06,94.940002,95.410004,93.099998,94.769997,94.769997,10367200
2018-12-07,94.500000,95.129997,92.449997,93.190002,93.190002,8496500
2018-12-10,93.559998,94.250000,92.339996,93.940002,93.940002,7276900
2018-12-11,94.250000,94.489998,93.250000,93.849998,93.849998,6452500
2018-12-12,94.300003,94.300003,93.059998,93.110001,93.110001,9639200
2018-12-13,93.250000,93.680000,92.430000,92.959999,92.959999,8042300
2018-12-14,92.050003,92.559998,91.570000,91.849998,91.849998,11493600
2018-12-17,91.220001,92.010002,90.160004,90.769997,90.769997,9001800
2018-12-18,90.800003,91.260002,90.279999,91.080002,91.080002,9606700
2018-12-19,91.290001,93.000000,90.250000,90.550003,90.550003,12231500
2018-12-20,90.110001,90.110001,86.139999,87.279999,87.279999,16373800
2018-12-21,86.870003,89.470001,86.800003,87.129997,87.129997,14921500
2018-12-24,86.540001,87.570000,85.779999,85.820000,85.820000,6110300
2018-12-26,86.419998,90.419998,86.300003,90.410004,90.410004,10028300
2018-12-27,89.750000,91.610001,88.440002,91.589996,91.589996,9881500
2018-12-28,92.070000,93.470001,91.650002,92.129997,92.129997,9874000
2018-12-31,92.669998,93.389999,92.250000,93.150002,93.150002,7005800
2019-01-02,91.639999,93.650002,91.639999,93.339996,93.339996,8152700
2019-01-03,93.209999,94.709999,92.699997,92.860001,92.860001,8277300
2019-01-04,93.209999,93.660004,92.690002,93.440002,93.440002,8029100
2019-01-07,93.620003,95.169998,93.180000,94.540001,94.540001,7789700
2019-01-08,95.059998,95.760002,93.910004,95.199997,95.199997,7200900
2019-01-09,95.709999,96.139999,94.769997,94.889999,94.889999,6272300
2019-01-10,93.879997,94.980003,93.120003,94.959999,94.959999,9396300
2019-01-11,94.989998,95.290001,94.550003,94.839996,94.839996,5394600
2019-01-14,94.480003,95.449997,94.279999,94.949997,94.949997,7085100
2019-01-15,95.470001,96.599998,95.379997,96.250000,96.250000,7058200
2019-01-16,95.930000,96.860001,95.830002,96.349998,96.349998,5410000
2019-01-17,96.320000,97.209999,96.160004,96.739998,96.739998,5614500
2019-01-18,96.949997,98.199997,96.849998,97.730003,97.730003,6120600
2019-01-22,97.150002,98.430000,96.779999,97.489998,97.489998,8063200
2019-01-23,98.870003,99.349998,97.529999,98.709999,98.709999,8345800
2019-01-24,98.199997,98.459999,96.430000,98.360001,98.360001,7609700
2019-01-25,98.750000,98.910004,96.750000,96.940002,96.940002,7218200
2019-01-28,96.529999,97.070000,96.080002,97.059998,97.059998,5875800
2019-01-29,96.769997,97.160004,96.510002,96.709999,96.709999,5253400
2019-01-30,96.680000,96.800003,94.260002,94.800003,94.800003,11849300
2019-01-31,94.629997,96.870003,94.629997,95.830002,95.830002,14723000
2019-02-01,95.919998,96.000000,93.110001,93.860001,93.860001,12591900
2019-02-04,93.860001,94.769997,93.349998,94.769997,94.769997,7268600
2019-02-05,95.250000,95.940002,95.019997,95.599998,95.599998,6099900
2019-02-06,95.430000,96.010002,95.220001,95.639999,95.639999,4263700
